,产品
0,海滨市场
1,苏二村
2,显臣中学
3,下川岛
4,茂名纪念公园
5,马丽小学
6,汉长城
7,大陂村释迦园
8,潘州公园
9,天龙顶国家山地公园
10,凌霄岩风景区
11,元晟坊蛋糕（南香公园店）
12,茂名浪漫海岸
13,湾舟岛
14,59国道
15,国经济林协会
16,崆峒岩景区
17,茂名电白童子
18,迪士尼
19,南京二间
20,蝴蝶谷玻璃桥
21,大雄宝殿
22,沉香山集团
23,原油地码头
24,秀英码头
25,湛江海湾
26,洪国皇宫
27,大隆服务区
28,农业部
29,欢乐世界
30,南昌街
31,"关车
同站换"
32,沉香宾馆
33,"
南盛街"
34,⑥浪漫海岸度假区
35,仙人洞自然风景区
36,国际会议中心
37,茂名文化传媒集团
38,电白郡
39,文化广场
40,蒋光鼐
41,鼎龙湾酒店
42,茂名文华酒店
43,茂名碧桂园
44,放鸡岛海洋公园酒店
45,天门滑道玻璃吊桥
46,池垌站
47,雷达站
48,丽呈品牌
49,晏镜岭童
50,大湾区
51,海战区
52,布吉河
53,开春高速
54,菲尔德斯半岛
55,禧荟城
56,茂名报社
57,东湾新城建设管理委员会
58,夫人庙
59,"瀑布
玻璃景观平台"
60,高州长坡旧城
61,东阳街
62,广东高州师范89届体育班
63,沙扒湾
64,文化站
65,广佛高速
66,潘仙祠
67,清州岛
68,洛湛铁路
69,"小东江垂钓
高山社区"
70,水中东湾
71,南极半岛
72,企鹅馆
73,观海楼酒店
74,"寻古
鳌头镇"
75,高州总会
76,"凤凰园
"
77,童子湾风景区
78,茂名启德文化公司
79,茂名公交
80,自力村
81,信宜丽晶酒店
82,慈愍祖师
83,雅星镇八一迎宾馆
84,莲花湖温德姆酒店
85,白沙滩
86,大洪国王宫
87,电海街道
88,御水古温泉
89,"太平境
"
90,笔架山公园
91,华南农业大学
92,火山湖
93,鲜饮时光（高州店）
94,广东版布达佩斯大饭店
95,六角连亭
96,文昌月
97,②水东湾跨海大桥
98,小和寿司（光明路店）
99,政治中心
100,"广东君元沉香山酒业有限公司
"
101,甲门峡漂流
102,俄贤岭
103,观海楼假日酒店
104,浮山岭旅游风景区
105,探胜岛
106,阳光大沙滩
107,八仙道观
108,IU酒店(信宜中兴六路店)
109,海景明珠商住楼南面
110,化州桔龙商务酒店
111,南海舰队
112,大门口镇楼
113,→金沙湾观海长廊→
114,盐田肠
115,普吉岛
116,马头岭
117,御水谷
118,江湛铁路
119,浪漫海岸温德姆酒店水上乐园
120,文光塔
121,携程网
122,骑楼街
123,七星瓢虫亭
124,茂名露天矿生态公园
125,南极大陆
126,雪世界
127,齐刘海
128,茂名御水古温泉度假酒店
129,浪漫海岸的酒店
130,海味街
131,碧桂园城市花园
132,茂名大道
133,诗歌教堂
134,冼夫人纪念馆
135,响水潭
136,苍南海
137,清州岛浴场
138,窦州古城牌坊
139,"千里眼镜
东桥相馆"
140,广州碧桂园
141,玻璃栈道
142,数亚庇环滩岛
143,西北角
144,喜来登酒店
145,海淀路
146,同心池
147,四川建川博物馆
148,信宜市委
149,中国长城站
150,茂名放鸡岛
151,县委招待所
152,神仙酒店
153,天马山生态旅游景区
154,万豪国际集团
155,台山黑沙湾
156,花园酒店
157,达佩斯大饭店
158,双山二路
159,莲花湖景区
160,大成镇至山顶公路
161,鑫源酒店
162,达慕会场
163,岛南海湾花园
164,马踏镇
165,香格里拉
166,人民政府
167,西海岸
168,环城东路
169,中山大学
170,电车路
171,广东省食品药品监督局
172,仙人洞景区
173,汕尾红海湾
174,广东省农民协会南路
175,灵王崇拜
176,大车坡
177,镇隆镇中心小学
178,海湾大桥
179,南中国海
180,德雷克海峡
181,电白第一中学
182,湿地公园
183,高州三塔
184,霞山观海长
185,万达广场
186,"石敢当
村庙"
187,东极正堂
188,宴镜岭
189,御水古温泉酒店
190,第一滩公交站
191,珠江台
192,中国林业科学研究院
193,湛江博物馆
194,黄金海
195,苗寨客栈
196,亚婆角
197,信宜山路
198,大树岛
199,火山岛
200,五马归槽
201,鳌头古粥店
202,国大草原
203,合和大道
204,新华书店
205,书法广场
206,顺德清晖园
207,满酱（东湖店）
208,港堡汉堡（双山四路店）
209,"温德姆酒店
"
210,杰克船长
211,涌东路
212,海上墟
213,仙女瀑
214,汕湛高速
215,珍珠湾
216,龙眼庄园
217,湖光岩
218,开平碉楼
219,鼎悦公寓
220,露天矿采矿厂
221,藍海岸
222,广东粤运朗
223,徒步尼尔森岛
224,望海餐厅
225,深圳卫视播放报道
226,麦壳西点（开发区店）
227,十里銀
228,吴阳霞街
229,茂名森林公园
230,练武场
231,御水古温泉旅游度假区
232,"君元沉香山(茂名)佛光生态旅游有限公司
公司"
233,玉湖风景区瞭望
234,大仁山
235,出长坡库区
236,潜梦岛海洋王国酒店
237,茂名博物馆
238,"海陵岛
"
239,温泉度假村
240,儿童乐园
241,江陵岛
242,茂名国旅
243,电白公交
244,高州市宝光塔
245,电白区海湾二路
246,黄氏花园
247,广西北流
248,水东西湖
249,霞海路
250,郊北界
251,断碑亭
252,华海酒店
253,信宜城南汽车站
254,乐满天中餐厅
255,人工湖
256,鳌头古道
257,CEO
258,北洛秘境
259,陈村海鲜城
260,中央冲浪区一个胖子
261,广东桥梁博物馆
262,保利·南海１号展览馆
263,尼康D
264,信宜酒店
265,观山寺群
266,八坊村
267,周坑村
268,冼太庙
269,石花水洞
270,深圳北站
271,水东红树林景区
272,霞山水产品批发市场
273,"御水古温泉
御水古温泉"
274,茂名海云雁酒店
275,"金科伟业
葵园村"
276,Portalpiont
277,电白同乡论坛网
278,南海神庙
279,中国大陆
280,观山牌坊
281,茂名公共交通总公司
282,岗坡渡槽
283,对海滩
284,茂名好来登商务酒店
285,茂名电白
286,茂名二间
287,华南地区
288,滨海绿城
289,茂名柏丽酒店
290,高州城
291,交通部
292,霞山区政府
293,百瀑梯
294,深圳北
295,官山路
296,粥霸一方
297,网红桥
298,大成殿
299,望海草坪
300,雨公道院
301,好心湖畔民宿
302,江城区
303,莲花湖庄园景区
304,站南路
305,三官山
306,北排森林公园
307,益嘉饭店
308,"茂名
浪漫海岸温德姆酒店"
309,深圳东站
310,鳌头镇
311,茶亭石林瀑布
312,茂名沙滩
313,大雾岭景区
314,上海市政府
315,风暴中心
316,宝光公园
317,高州路
318,夜宿维也纳酒店
319,茂名君悦商务酒店人民大道店
320,金月楼
321,文冲社区
322,旺角亭（为民店）
323,屋小院缘茗轩随心所院乙
324,东方市区
325,佛山祖庙
326,益禾堂幸福店
327,松林别墅
328,果之度（迎宾三路店）
329,茂名中国第一
330,雷州雷祖祠
331,南盛山合【
332,信宜市文化广电旅游体育局
333,茂名体育馆
334,绿杨曹江蛋鸡场
335,电白博物馆
336,云开山
337,碧珠宾馆
338,国家建设部
339,月牙湾
340,高州简尚精品酒店
341,"湛江
赤坎民国风情街"
342,菠萝公园
343,景区售票处
344,茂德公大观园
345,半壁江山
346,高州水库
347,"上海
尚宫
蒸禾号
小焱馆"
348,S283省道
349,阳春东湖公园
350,明星宾馆
351,公安局
352,荷花镇
353,喜相逢渝洲川菜酒楼（东方大道店）
354,冼太夫人故里文化旅游区
355,阳西咸水矿温泉度
356,高州革命烈士陵园
357,东北部
358,革命历史博物馆
359,南宫庵
360,湛汕高速
361,中国大陆南极村
362,茂名君怡酒店
363,地双山岛
364,石狗岭
365,"高州
第二"
366,全国政协
367,竹海大观
368,中国共产党
369,茂名西站
370,轻住悦享酒店(茂名高铁南站店)
371,高州贡园
372,旺同竹海叹氧
373,潮州风吹岭石刻群
374,南极长城站
375,镇隆小学
376,油城四路
377,长隆海洋王国
378,茂名市文化广电旅游体育局
379,年鼎龙集团
380,"牙象木头塘村
牙象大地艺术公园"
381,如家酒店·neo(茂名人民路步行街中心店)
382,文武庙
383,"贡园
"
384,鉴江民俗文化馆
385,丽枫酒店
386,南门大桥
387,"华美医院
油城"
388,潘茂名纪念馆
389,露天矿景区
390,冼太广场
391,官渡五路
392,深圳海
393,"鸿大粤威
永久桥"
394,东方乐园
395,东南亚式
396,观山寺
397,茂名架海灯塔
398,高凉鼓韵
399,逸景酒店
400,闸坡国家级中心渔港
401,忠良古街
402,旺禄农家乐
403,水东镇东郊
404,茂名市便捷酒店(高铁火车站店)
405,"老年大学
"
406,JalanTunH.
407,玉湖风景区
408,茂名市广播电视台
409,高地街道
410,龙王殿
411,旅游区
412,化州桐趣电影游戏主题酒店
413,相聚时光（化州店）
414,海滨宾馆
415,温德姆酒店水上乐园
416,潘州中学
417,厦鼓码头
418,西城片区
419,南华旅店
420,南方医科大学
421,洛湛铁路信宜段
422,梦田煎蛋
423,湖光岩景区
424,东汇城
425,牙象村委会
426,棂星门
427,茶自点（文光店）
428,高凉郡太夫人
429,城市便捷酒店(茂名滨海新区电城店)
430,观山寺i
431,东南部
432,珠海高铁站
433,双山田村
434,"红荔阁
"
435,"陈罗庙
陈罗古"
436,广深铁路
437,西桂东
438,水东海堤
439,北戴河
440,蒙政会
441,牙象大地
442,大草原
443,新湖路
444,中坳风力发电厂
445,天王殿
446,南海一号博物馆
447,高州仙人洞自然风景区露营点
448,游晏镜岭
449,石岩飞泉
450,中汇尚街
451,东镇街道
452,温德姆浪漫海岸酒店
453,高州市政府
454,东洋财团
455,放鸡岛广告牌
456,开平哲记柴火粥
457,珠江啤酒
458,海岛壹号公寓
459,嘉嘉乐海鲜餐厅
460,好心湖环湖路
461,茂名西湖
462,冯公祠
463,"百灵庙
广福"
464,绿荫路85号
465,电城庄山
466,湛江博物馆二
467,茂名诚荟酒店
468,茂名电信网络二支部
469,天马山顶
470,解放路
471,茂名鑫都宾馆
472,清晖园
473,知了书院
474,金桥公园
475,"谷源酒业
亨城酒坊"
476,大田顶
477,悦创小鹅鹅桂林米粉（双山一路店）
478,昭忠祠
479,御海公寓酒店
480,湖光岩风景区
481,双渚渔歌萦古寺
482,设莲花湖温德姆酒店
483,佛山梁园
484,十里銀灘
485,镇政府
486,都温泉风景区
487,露天矿生态公园大门
488,维纳斯皇家温泉（广东阳西店）
489,广东省制药工业公司销售中心
490,"天一国际大
茂名"
491,"凉亭
浮山岭旅游风景区"
492,敦煌公益
493,僧帽峰
494,博贺镇
495,阳西服务区
496,粤龙山
497,渔业机修厂
498,魔鬼德雷克海峡
499,君元沉香宾馆
500,广东省航运厅
501,观音殿
502,水东湾跨海大桥
503,牛马神石
504,茂南德育学校
505,西樵山
506,海滨大道
507,罗江两江流域
508,湛江徐闻港码头
509,中共中央委员会
510,北广场
511,雷州古城
512,袂花中学
513,油城四
514,大仁庙
515,岭南地区
516,熹龙轩
517,行者无疆人民公社
518,宋康大道
519,精途酒店(茂名高铁火车站店)
520,"太夫人故里文化旅游区
"
521,双子岛
522,湛江徐闻港口码头酒店
523,硇洲岛码头
524,东门遗址
525,仁山山路
526,南极长城科考站
527,茂名市人民政府
528,高山草场
529,灯光长廊
530,"天台诱惑
市体育馆"
531,美豪酒店
532,老干部活动中心
533,冼太夫人庙
534,尾角灯塔
535,硵洲岛
536,宜天马山
537,马蹄岭
538,体育中心
539,环湖公园
540,粤西桂东地区
541,海南沿海
542,高州顺得商务酒店
543,哈啰景区
544,月亮湾滨海度假区
545,南三联岛
546,熹龙大酒店
547,茂名栈泉酒店
548,信宜天鹅湖宾馆
549,①电白汽车客运站
550,高明区
551,八仙亭
552,高州南塘
553,渔政码头
554,博贺深水港
555,浮山岭风景区
556,环市南路
557,玉皇顶
558,水晶十字架
559,市体育中心
560,"大白
路"
561,明珠码头
562,马贵镇
563,电白一中
564,大草原山脚
565,鸿百年酒店
566,龙凤厅
567,魅力中国城
568,西南端
569,云岫山
570,国营大雾岭林场
571,真温泉
572,灵王邦主庙
573,孵化园
574,荔枝木烧窑
575,茂名红金鼎商务宾馆
576,国家十二部委
577,广州火车站
578,如家酒店·neo(茂名高铁火车站店)
579,南极科
580,东洋大财团
581,沿江路店
582,大温泉酒店
583,信宜镇隆古城
584,中山城
585,"高州
"
586,博贺港湾
587,温德姆至尊酒店
588,湛江海滨公园
589,"上宾塘知了书院
"
590,粤西地区
591,粤西山村
592,灵王庙
593,太平洋
594,南宫岭
595,瑞鑫酒店
596,大王庙
597,塘下村
598,水东滨海
599,木头塘站
600,城东解放街
601,南路地区
602,南华路
603,开平潭江半岛酒店
604,贵族自助牛排餐厅（华侨城店）
605,三进大礼堂
606,寸金桥公园
607,岭南通
608,西江机场
609,敏捷黄金海岸
610,文化馆
611,沿海高速
612,东中路
613,阳江市政府
614,迁谷农庄
615,明湖超市
616,剑桥大学
617,茂名红天旅馆
618,驰名湘菜馆
619,雀花舞台
620,"浪漫海岸温德姆酒店水上乐园
浪漫海岸温德姆酒店水上乐园"
621,窦州温泉
622,人民北路
623,潜梦岛海洋王国
624,广东休闲度假好去处
625,联合国
626,茂名永利之家
627,放鸡岛海洋公园
628,浪漫海岸度假村
629,长岗坡渡槽
630,"露天矿生态公园
"
631,清香面包店（车田街店）
632,幸福摩天
633,中国南极长城站
634,中国青少年儿童食品安全科技示范基地
635,树林公园
636,海洋公园
637,"环好心湖田园综合体
"
638,顺德校区
639,茂名广播电视大学
640,柏高酒店(茂名高铁站店)
641,中山大学五山新校舍
642,280省道
643,中国联通
644,金鳌剧苑
645,香港电车
646,魁星阁
647,电白沉香文化博物馆
648,云雾山
649,大连中药厂
650,金沙湾观海长廊
651,跨海桥长
652,无蚊村
653,冲天香鸭粥店（光华北店）
654,瀛州公园
655,阳江高铁
656,水世界
657,电白电城冼
658,仙人洞口打卡
659,古丁镇
660,王占鳌广场
661,江门市崖门
662,国家荔枝龙眼产业技术体系
663,新安水果文化旅游节
664,优乐堡（开发区店）
665,湛江机场
666,旺远农庄
667,M015号别墅
668,沿江西路
669,八坊温泉
670,露天矿生态公园
671,遂溪孔子文化城
672,熊猫馆
673,露天矿
674,高州骑楼
675,地菠萝公园
676,闸坡海味街
677,山顶水库
678,芝蔼村
679,野生动物世界
680,广福寺
681,益禾堂
682,岭南文化
683,国家食品药品监督管理局
684,鳄天下
685,健身广场
686,南塘村委
687,粤西桂东
688,新疆建设兵团
689,一夜埕海味干货街
690,中澳友谊花园
691,服务区
692,占鳌广场
693,大仁山道教主体建筑
694,凤凰山
695,轮船餐厅
696,南华广场站
697,电白区府
698,小溪瀑布
699,雞冠石
700,幸福路
701,八仙观三清殿
702,君海酒店
703,长隆旅游度假区
704,文武帝
705,雅米乐园
706,严家祠冼
707,"高州
观山牌坊"
708,金沙湾海滨浴场
709,仙水岩升
710,【玉溪三洞风景区
711,益华大酒店
712,莲花湖
713,晏镜岭童子湾
714,电白沙琅江
715,功夫鸡排（光华北路店）
716,木栈道湿地公园
717,耀新村
718,大角湾
719,水东镇郊盐灶村
720,茂名御景国际大酒店
721,旺同竹林
722,茂名市委
723,长城站
724,考拉馆夜宿
725,古洞三塔厅
726,浪漫海岸的温德姆酒店
727,好心湖畔田园综合体规划
728,南极站
729,政治、经济、文化中心
730,国家民委
731,罗定风车山
732,渔港公园
733,兴记鸭粥店。
734,番禺馀荫山房
735,皇仁书院
736,禾雀花观赏区
737,儿童戏水池
738,假山瀑
739,浪漫海岸旅游度假区
740,兄弟别墅
741,1佛山
742,闸坡大
743,水古温泉
744,潜梦岛
745,水东兴记鸭粥
746,天涯海角
747,赵帅府庙
748,海底餐厅
749,广铁集团
750,荔枝柴土窑
751,云茂高速
752,潘仙殿
753,地质公园
754,海鲜饮食城
755,乐天温泉
756,月亮湾
757,龟心园
758,台楼阁
759,茂名露天矿公园
760,红旗示范街
761,安全岛
762,客服中心
763,海上导航灯塔
764,家宴大排档
765,放鸡岛
766,悦城龙母庙
767,水东湾红树林
768,海上运动区
769,天际泳池
770,嘉禾望岗站
771,文昌宫
772,→红花村公交
773,菠萝的海和
774,翰林院
775,信宜大
776,盐坨码头
777,伶仃岛
778,鼎信茶酒店
779,银滩风景区
780,君豪露营基地
781,守晏镜岭
782,丽呈酒店
783,腾龙瀑
784,广东海滩
785,卓越酒店(茂名万达广场店)
786,监督管理局
787,南国万亩大草原
788,古城田艾
789,海边公寓
790,大雄宝殿广场
791,太夫人纪念广场
792,露天矿遗址
793,石螺口
794,茂名第一海滩
795,茂名国家热带农业公园
796,东北姐妹饺子店
797,后山停车场
798,三角墟
799,電白區
800,融创雪世界
801,白龙温泉
802,东阳南街
803,爵士厚牛排自助餐馆（汇丰店）
804,"高州乐天温泉度假村
乐天温泉度假村"
805,火山口湖
806,白鹿洞书院
807,粤西南地区
808,茂名篮协
809,虎头山旅游区
810,雅居乐乐活
811,龙虎山
812,阳江海陵岛
813,南盛街
814,海豚酒店
815,G1路城际公交车
816,黑马国际俱乐部
817,赤坎头村
818,茂名市书画院
819,"茂名雅米游乐园
"
820,厦门大学
821,广技师白云校区
822,罗坑水库
823,西江温泉度
824,彩虹桥
825,地母元君殿
826,天地会
827,大雾岭自然保护区
828,开阳高速
829,水上乐园
830,开心农场
831,中国南极泰山站
832,茂名县志
833,龙山尖岗管理区
834,水东湾红树林湿地
835,瞭望塔
836,游客服务中心
837,茂名市人民北路
838,建成区
839,胡桃里
840,袂花江
841,恒大宾馆
842,茂名大龙湾酒店
843,海陵岛
844,红荔阁
845,荷花温泉
846,大良华盖路
847,观海路
848,云潭镇
849,温泉酒店
850,空中玻璃桥
851,寸金动物园
852,"大仁山
大仁山"
853,"尾角灯塔
灯塔"
854,湛江鼎龙湾度假村
855,蔚鶨港
856,旦场村
857,天马山风景区
858,洛溪大桥
859,露天矿好心湖畔，果真如此，风迎面吹来，沁人心底，湖面卷起一层层浪花
860,茂名温德姆至尊酒店
861,烧鹅挡收
862,古堡灯塔
863,教育专场
864,泸溪河
865,爱丽丝音乐餐吧
866,华和国际酒店
867,高州大酒店
868,中山故居公园
869,大理洱海
870,华鼎奖酒店
871,海韵别墅
872,笔架山
873,徐闻港
874,霞山水产批发市场
875,海南岛
876,飞升阁
877,珍珠湾大酒店
878,广东省科普教育基地
879,杏花村
880,沿江南路
881,"跨海大桥
跨海大桥"
882,批发路
883,泉州西街
884,南药药业有限公司
885,马丽电站~
886,救生瞭望塔
887,雄伟家俬
888,水东湾海洋公园
889,东湖冼
890,"茶亭石林
亭台楼阁"
891,茂名火车站
892,天台月光帐篷餐厅
893,"御水古温泉
御水古温泉
私人温泉
御水古温泉
御水古温泉
御水古温泉
"
894,中医院
895,厦门北
896,南方油城
897,"格林设计院
"
898,"琪昌饼
严家祠"
899,闸坡大角湾
900,太夫人故里文化旅游区
901,溪谷人家
902,贡园广场
903,瓮窑鸡店
904,高州省站
905,海丝博物馆
906,围炉海鲜烤肉自助（金港湾店）
907,瀛洲公园
908,人民中路
909,镇至山
910,榕月阁
911,解放东路
912,平云山冼太庙
913,世园会
914,十里银滩
915,大西南
916,温德姆西餐厅
917,也纳酒店
918,"信宜市教育城初中
"
919,茂名石油工业公司
920,唐华商务酒店(茂名高铁火车站店)
921,王邦主庙
922,"雅米游乐园
湿地生态"
923,茂南商业区
924,高凉岭
925,丰年面包店（茂南区店）
926,碧桂园
927,鹅凰嶂
928,上海岛
929,大梅沙
930,住海景湾大酒店
931,原潘州公园
932,放生台
933,咨议局
934,湄洲岛
935,卢浮宫
936,湛江交通运输发展中心
937,苍蝇馆
938,赤坎走寸金公园
939,无界居
940,大洪国皇宫旧址
941,茂名星城湾国际酒店
942,高州冼太庙
943,茅田山庄
944,沙琅江
945,建库历史展馆
946,信宜市区
947,第一海滩
948,百灵庙抗日武装纪念碑
949,中心广场
950,Manderscheid
951,第四十五军
952,明湖商店
953,李济深故居
954,高州中学
955,鹰潭龙虎山
956,响尾蛇峡谷
957,红旗街
958,阳西咸水矿温泉旅游度假
959,大角湾海之冠酒店
960,无边际海景
961,大雾岭
962,去哪网
963,茂名安途四季酒店
964,夏威夷
965,"镇隆古城
"
966,～阳西服务
967,广东君元
968,红旗盐场
969,恒大西边
970,柳州园博园
971,经济学院
972,东港区
973,海滨跨海大桥
974,可可西里国家级自然保护区
975,南极洲
976,高州乐天温泉度假村
977,"7.广东君元沉香山酒业有限公司
公司"
978,高州乐天温泉酒店
979,严家祠
980,南海边陲
981,水东海滨
982,湛江万达楼
983,楞严寺
984,沙扒湾浴场
985,四川建川博物馆聚落
986,宵夜摊
987,御水古温泉｜宝藏度假
988,好莱登商务宾馆(信宜绍秀体育馆店)
989,天目湖
990,电城车站
991,北帝庙
992,高州仙人洞景区
993,黄埔军校及中央训练团将官班
994,新兴禅泉温泉度
995,名信宜教育城店
996,放鸡岛停车场
997,高佬峰
998,童子湾
999,"太阳部落
孵化园"
1000,湖光岩火
1001,美国森耐特服装
1002,云南过桥米线（汇景店）
1003,阳光海滩
1004,驴友联盟
1005,新四军
1006,海洋大学
1007,九曲桥
1008,星悦酒店(茂名文化广场店)
1009,茂名电信二支部
1010,官山一路
1011,广东省医药集团有限公司
1012,布朗站
1013,红树林
1014,河臣村
1015,珠海九洲码头
1016,深山藏古寺
1017,南风雨廊
1018,贤合庄卤味火锅（电白万达店）
1019,岐江河
1020,椒王火锅（高州店）
1021,滨海负离子氧
1022,九树收银台
1023,南海旅游岛
1024,保利集团
1025,天宁寺
1026,木头塘
1027,黎村温泉
1028,汇丰酒店
1029,仙水岩景区
1030,白云山
1031,中国极地研究中心
1032,茂名东火车站
1033,巴厘岛艺术文化主题酒店
1034,"羊角上宾塘，夜访知了书院
知了书院，唯用一好心，女子书法"
1035,茂名温德姆酒店
1036,太阳部落
1037,称从良街
1038,高山龙眼剥壳去核机厂
1039,行者无疆
1040,熊猫酒店
1041,嘉和国际酒店
1042,海洋路
1043,天矿生态公园
1044,沿江路
1045,观音山
1046,大同世界
1047,南海半岛
1048,大雾岭大田顶
1049,阳江汽车总站酒店
1050,文笔塔
1051,扬帆区
1052,好海滩
1053,崖门古炮台
1054,中山纪念堂
1055,温泉度
1056,湖南文和友文化产业发展集团有限公司
1057,电白博贺港
1058,网红打卡桥
1059,哈曼酒店(化州火车站店)
1060,茂名日报社
1061,朗誉酒店
1062,凌霄岩
1063,官渡江东花园
1064,庐山村
1065,油校西餐厅（光遇·油校光华校区店）
1066,东林寺
1067,五公祠
1068,天马山生态旅游区
1069,文和友龙虾馆
1070,岭南园林
1071,北风雨廊
1072,环岛路
1073,三角亭
1074,仙人洞山庄
1075,高铁南站店）
1076,城市便捷酒店(茂名水东万达广场区政府店)
1077,尚义名区牌坊
1078,茂名市体育馆
1079,澳内海
1080,乐天温泉度假
1081,财政局
1082,苏州科技文化艺术中心
1083,鼎龙湾大马戏
1084,水东镇西湖西路
1085,海边别墅
1086,中华第一冼太庙
